country_co,country_na,Tree cover areas,Open Water,Shrubs cover areas,Grassland,Cropland,Vegetation aquatic or regularly flooded,Lichens Mosses / Sparse vegetation,Bare areas,Built up areas
OD,South Sudan,265282.95051294094,1276.6845584313726,117182.95062274508,196295.51089411767,29951.325036862756,3412.411723921568,225.43770039215687,214.92730980392153,144.39813647058827
CM,Cameroon,322052.7585317645,2992.6385129411747,14566.931058823531,60560.0250964706,40014.128771764714,1161.1952345098032,NA,749.8007780392156,995.4867215686274
CG,Dem Rep of the Congo,1523340.3103592156,38885.842050196086,56771.89900392154,462100.0836282352,128146.07294117639,2576.670037647061,243.35077019607843,1390.474723137255,1935.6940031372549
GA,"Gambia, The",2317.2942337254835,221.799888627451,381.6339780392158,3146.482619607841,3998.903439999996,145.8013788235294,NA,28.0838462745098,184.02773019607844
GV,Guinea,159805.00245647057,615.4060674509811,7814.199126274508,57390.71642823534,8978.5183545098,361.5990619607843,NA,66.8415262745098,585.5197349019606
SG,Senegal,40259.758356078404,1776.7177850980406,38376.19025411764,34669.31638901958,73092.82011764702,1621.0301050980388,362.7744,839.9843419607844,880.4878399999993
PU,Guinea-Bissau,22739.025678431357,489.73533960784385,250.2098509803922,6220.402605490195,2378.1034447058823,302.6154572549021,NA,67.33607529411762,94.55291607843132
ML,Mali,125247.57604078428,3175.916894117649,49854.92004862745,161740.06167215688,218613.30316235294,1387.4415890196078,446.7191654901961,685775.623785098,904.6422274509803
AO,Angola,527537.5908752941,1618.1554070588238,261132.118029804,342589.87047058786,57953.95137568629,827.1432752941176,434.03908705882355,17124.868859607835,1122.6620643137253
CT,Central African Rep,485141.6686588239,696.7339043137268,10260.232261960784,86032.50248941177,9049.831929411763,169.31396392156864,0.20479999999999998,75.80007529411765,183.64376784313728
SO,Somalia,10346.915349019604,252.03928941176477,213926.58604862736,201328.94504470596,22006.0387482353,771.7426666666665,36108.44006588234,119569.0516062745,303.8173082352941
CF,Rep of the Congo,231745.90783529397,2606.007328627447,437.1036000000001,66640.58417254908,21125.155303529406,2044.3239152941178,3.1663498039215683,13.524748235294123,286.58855372549016
NG,Niger,3995.4867498039193,648.9477756862733,4617.4252501960755,153227.02983372554,200485.13164705885,205.78141019607844,1463.5694007843135,807017.110633726,656.7373098039217
ZA,Zambia,309939.55741333315,12278.898249411757,118784.59689098038,206127.74001411762,80171.34680627451,3532.4125772549023,280.27423058823535,210.96358274509802,665.7172988235295
GB,Gabon,226343.529515294,2630.8518901960792,191.57189960784314,11955.49268392156,6369.63803137255,1384.444751372549,NA,NA,189.33392941176467
RW,Rwanda,3493.0075027450966,1380.9334964705872,2883.563683137255,4968.602873725488,10950.22914666667,31.513601568627436,1.3288,40.02141176470588,219.10398274509805
SF,South Africa,100148.90913568632,4744.515698823529,502824.74206745083,369404.3920345097,186216.65940392163,446.3977725490194,54674.940106666654,90604.55106196088,9725.603618823525
UG,Uganda,50750.340261960795,34684.14133176467,12394.908467450976,45774.51053333332,84155.1056737255,293.2814180392157,6.780729411764706,111.25378039215687,675.1960768627453
IV,Cote d'Ivoire,180727.7389992157,2718.0080784313664,26471.25644392157,54980.75802980394,40536.98062431373,284.6769003921569,0.018799999999999997,81.98559058823528,1418.0101458823526
GH,Ghana,102121.13708392157,7690.770523921563,29524.790528627454,44814.77437176469,41239.992690196064,520.0304956862748,0.3067890196078432,196.49872156862745,2355.7945364705897
TO,Togo,20017.500404705883,209.9674949019608,8871.352462745095,7171.4162101960765,17550.49334588235,22.215066666666665,0.6758588235294117,32.92049098039215,423.6792376470589
KE,Kenya,43234.125607843154,11303.393173333332,167943.84106509798,208294.8272156863,99240.41157803922,290.3578823529413,9761.578047058827,14657.41183686275,1040.2558792156863
BY,Burundi,6604.607695686272,1851.241286274507,1690.1067074509804,8620.532953725486,6552.871134117646,8.286409411764705,0.992,17.25381176470588,126.44298509803922
SL,Sierra Leone,52914.31510745095,557.2034964705887,474.25772862745106,10056.281839999996,4384.004608627451,597.2306368627445,NA,17.062338823529412,327.017374117647
